"subjectActivity"	"tBodyAccmeanX"	"tBodyAccmeanY"	"tBodyAccmeanZ"	"tBodyAccstdX"	"tBodyAccstdY"	"tBodyAccstdZ"	"tGravityAccmeanX"	"tGravityAccmeanY"	"tGravityAccmeanZ"	"tGravityAccstdX"	"tGravityAccstdY"	"tGravityAccstdZ"	"tBodyAccJerkmeanX"	"tBodyAccJerkmeanY"	"tBodyAccJerkmeanZ"	"tBodyAccJerkstdX"	"tBodyAccJerkstdY"	"tBodyAccJerkstdZ"	"tBodyGyromeanX"	"tBodyGyromeanY"	"tBodyGyromeanZ"	"tBodyGyrostdX"	"tBodyGyrostdY"	"tBodyGyrostdZ"	"tBodyGyroJerkmeanX"	"tBodyGyroJerkmeanY"	"tBodyGyroJerkmeanZ"	"tBodyGyroJerkstdX"	"tBodyGyroJerkstdY"	"tBodyGyroJerkstdZ"	"tBodyAccMagmean"	"tBodyAccMagstd"	"tGravityAccMagmean"	"tGravityAccMagstd"	"tBodyAccJerkMagmean"	"tBodyAccJerkMagstd"	"tBodyGyroMagmean"	"tBodyGyroMagstd"	"tBodyGyroJerkMagmean"	"tBodyGyroJerkMagstd"	"fBodyAccmeanX"	"fBodyAccmeanY"	"fBodyAccmeanZ"	"fBodyAccstdX"	"fBodyAccstdY"	"fBodyAccstdZ"	"fBodyAccJerkmeanX"	"fBodyAccJerkmeanY"	"fBodyAccJerkmeanZ"	"fBodyAccJerkstdX"	"fBodyAccJerkstdY"	"fBodyAccJerkstdZ"	"fBodyGyromeanX"	"fBodyGyromeanY"	"fBodyGyromeanZ"	"fBodyGyrostdX"	"fBodyGyrostdY"	"fBodyGyrostdZ"	"fBodyAccMagmean"	"fBodyAccMagstd"	"fBodyBodyAccJerkMagmean"	"fBodyBodyAccJerkMagstd"	"fBodyBodyGyroMagmean"	"fBodyBodyGyroMagstd"	"fBodyBodyGyroJerkMagmean"	"fBodyBodyGyroJerkMagstd"
"1_LAYING"	-0.77004551529	-0.69861888432	-0.39836636818	-0.791578048192	-0.53475465962	-0.24277545475	-0.65690261848	-0.06750841852	-0.80336949222	-0.51526318244	-0.47133202361	-0.77758493641	-0.11679595038	-0.130564436962	-0.47370962714	-0.47295749992	-0.77638307722	-0.418587350492	-0.36848704504	-0.699713460176	-0.27380995812	-0.8297040674	-0.546768672614	-0.53879586254	-0.60234317128	-0.271613614426	-0.7420786082	-0.674696587	-0.2579493953	-0.25105309296	-0.3498126924564	-0.690945367926	-0.485146521626	-0.100248526478	-0.49433105026	-0.79580763098	-0.05733882566	-0.29305237712	-0.739119502	-0.090912627834	-0.75631108622	-0.6587575355	-0.37576462418	-0.7042150834	-0.48922077924	-0.14461349948	-0.54361962456	-0.38266499382	-0.32578571146	-0.86852607716	-0.38989959522	-0.8049934342	-0.041082193178	-0.423399719852	-0.4010754406	-0.10582215532	-0.5666207615	-0.70173028092	-0.62490823432	-0.9814563034	-0.641427570136	-0.63723443474	-0.64295738874	-0.2663397357	-0.484942999008	-0.996275751
"1_SITTING"	-0.559597935978723	-0.614305678276596	-0.313148578468085	-0.868042687234043	-0.542060796489362	-0.27498125517234	-0.397058952340426	-0.240204405919149	-0.683968783978723	-0.675208295319149	-0.542420744510638	-0.712443523280851	-0.153094709593617	-0.137795969751064	-0.444316516744681	-0.406126988617021	-0.780973945319149	-0.665961019234043	-0.332973701340426	-0.649039116957447	-0.324061859914894	-0.82005143	-0.544412573868085	-0.449247780574468	-0.402899274085106	-0.29936691593617	-0.507931114595745	-0.59956581593617	-0.27358147336383	-0.471238075757447	-0.36757865037234	-0.598525613553191	-0.375870881404255	-0.14088254691383	-0.699830668340426	-0.521985372723404	-0.219245090438298	-0.450495438085106	-0.896055502702128	-0.228652956659574	-0.582357283659575	-0.894530967021277	-0.432173041238298	-0.609992744957447	-0.500756199991489	-0.0285993016382979	-0.720542296382979	-0.313976169787234	-0.442847783723404	-0.633355521382979	-0.31195718537234	-0.592488257553191	-0.244921075046809	-0.382063205212766	-0.625872470212766	-0.406111454702128	-0.69629581212766	-0.696263640553191	-0.415253347676596	-0.751693033680851	-0.691936336319149	-0.474597588170213	-0.409627385723404	-0.45429232892766	-0.572405378439575	-0.733764691702128
"1_STANDING"	-0.634356020037736	-0.76310764809434	-0.544490749754717	-0.441266269654717	-0.614510448849057	-0.218325489316981	-0.600242890188679	-0.350680174683019	-0.615414872754717	-0.628919774924528	-0.262840512849057	-0.77751138709434	-0.171719603999434	-0.32283060145283	-0.476935017924528	-0.384538446637736	-0.759887356981132	-0.602878254716981	-0.491032837041509	-0.88755287754717	-0.565047391211321	-0.550099281218868	-0.767365458528302	-0.448824821479245	-0.597733566792453	-0.541172352486792	-0.655911294867925	-0.603725330698113	-0.26802311609434	-0.400999122528302	-0.587269775245283	-0.661484385	-0.585922182433962	-0.298673520091321	-0.672598925754717	-0.882203416603774	-0.145618670532075	-0.481996485903774	-0.999519681886792	-0.260881692269698	-0.521130406	-0.95260878	-0.563831413584906	-0.716700366698113	-0.497652212962264	-0.0700043980528302	-0.657104617924528	-0.383133741192453	-0.484533374773585	-0.892999586471698	-0.552949988510566	-0.698616503943396	-0.27602812645283	-0.12795893685283	-0.720690372301887	-0.334429285056604	-0.620874167471698	-0.826674128660377	-0.418402930660377	-0.814168027132075	-0.504726633962264	-0.57562461849434	-0.393057859660377	-0.281943533056604	-0.449957520301887	-0.844300742037736
"1_WALKING"	-0.80624297166	-0.472302840272632	-0.550458546810526	-0.833698446494737	-0.5321433416	-0.354774238585263	-0.450205192947368	-0.284172146834737	-0.742504301633684	-0.630662351084211	-0.5476337176	-0.915641144547368	-0.165730613687368	-0.300056231669474	-0.442491309624211	-0.512696980754737	-0.852306402273684	-0.677188725010526	-0.51818455808421	-0.521656663336842	-0.507229534927368	-0.81445773436	-0.641642660831579	-0.606218823842105	-0.432501463347368	-0.480177144055789	-0.679888046852632	-0.579421899806632	-0.473887493875474	-0.681095529536842	-0.408157908598947	-0.854606676536842	-0.4181305286	-0.174258348263158	-0.777882133796842	-0.617778432094737	-0.0526848466947368	-0.584107688442105	-0.661620244021053	-0.158297938273684	-0.66991344083579	-0.665221149610526	-0.453198660694737	-0.869854086694737	-0.466891553705263	-0.0945573010894737	-0.417868340272632	-0.132275457926316	-0.51288210711579	-0.567554866314737	-0.528636371673684	-0.809296415762105	0.03292706364	-0.254432180884211	-0.449859126768421	-0.167777959884211	-0.796953843041053	-0.483727058527368	-0.607611213201053	-0.743472240867368	-0.544547170641053	-0.650983810642105	-0.50400920531821	-0.185223092740737	-0.619668552017895	-0.859366225263158
"1_WALKING_DOWNSTAIRS"	-0.969246830816327	-0.632667429395306	-0.620700505489796	-0.954210451632653	-0.565014382530612	-0.312346735142857	-0.47804429122449	-0.350935543510204	-0.802383682	-0.536174202408163	-0.649324844591837	-0.778060299959184	-0.170076045102041	-0.445446702793878	-0.602626441836735	-0.680997822632653	-0.881332258061225	-0.669962196326531	-0.609270907755102	-0.496469394244898	-0.579812071722449	-0.922426783673469	-0.531497331061225	-0.686067579040816	-0.484079811	-0.367644698510204	-0.665477552142857	-0.599019368979592	-0.550952553820408	-0.450122624755102	-0.495311010387755	-0.763899099714286	-0.355604749	-0.258332171836735	-0.853816381979592	-0.496977658806122	-0.0742624092857143	-0.643988183469388	-0.627677333571429	-0.192668873204082	-0.713986400571429	-0.462593629683673	-0.601284321834694	-0.755763498734694	-0.604240577346939	-0.452253774877551	-0.482457343979592	-0.22071437932449	-0.474785470020408	-0.625813817018367	-0.422248327632653	-0.824805683959184	0.0254526783877551	-0.321624790661225	-0.247727128367347	-0.209981439469388	-0.859088456185714	-0.489534116102041	-0.61353895255102	-0.679732356510204	-0.537319083489796	-0.699664589081633	-0.334770908412245	-0.0563822276734694	-0.636241336644898	-0.642266528844898
"1_WALKING_UPSTAIRS"	-0.749011664018868	-0.626204357716981	-0.471130851754717	-0.949709980188679	-0.388683380792453	-0.422266361415094	-0.449217871	-0.259779113462264	-0.997114356415094	-0.549634152924528	-0.771355776283019	-0.69254539439434	-0.152589408924528	-0.609218185679245	-0.241884943566038	-0.598548553839623	-0.883881838679245	-0.425738074643396	-0.544332319603774	-0.708513874645283	-0.464945398603774	-0.997908426981132	-0.558195701169811	-0.60480249895283	-0.553146320943396	-0.653793220792453	-0.979322684716981	-0.491815844811321	-0.75297686990566	-0.366105667924528	-0.488535582735849	-0.932854412439623	-0.509669198849057	-0.133862056056415	-0.686489735528302	-0.652503326464151	-0.0426567475924528	-0.528010125018868	-0.595765662566038	-0.0448132833773585	-0.950180697735849	-0.609266000396226	-0.539960440075472	-0.987138726603774	-0.24054890645283	-0.389843182501887	-0.277067843218868	-0.272561855226415	-0.402450675698113	-0.563833932703774	-0.669549285686793	-0.999367941509434	-0.256009408962264	-0.482970406735849	-0.415648767509434	-0.241664556871698	-0.643597670471698	-0.681802196679245	-0.661488453658491	-0.672413003603774	-0.248649926715094	-0.82688615154717	-0.477848212075472	0.00305501250924528	-0.700181992433962	-0.691553991207547
"10_LAYING"	-0.776323168448276	-0.311619497896552	-0.77545493	-0.438715118939655	-0.585065534671724	-0.508124794965517	-0.123256761741379	-0.264777612105345	-0.61967243237931	-0.337266031448276	-0.874912099775862	-0.658991746068965	-0.198381556424138	-0.398493880584483	-0.23713507145	-0.833908593206897	-0.534605801655172	-0.41994716362069	-0.628741555896552	-0.256599168465517	-0.804598920412069	-0.462098881689655	-0.472318417286207	-0.877276092931034	-0.201015855317241	-0.726829943068966	-0.682970963293103	-0.549167605267241	-0.887696682568966	-0.516708380275862	-0.691404488655172	-0.72259235037931	-0.0537502228551724	-0.267681551517241	-0.868211456413793	-0.320226408615517	-0.151579386896552	-0.587735832275862	-0.367107130482759	-0.190637363758621	-0.783746397413793	-0.460185402310345	-0.724393642496552	-0.760113766362069	-0.274134016293103	-0.512341331813793	-0.210711410706897	-0.438207820332759	-0.591818668034483	-0.204442581233621	-0.726694628862069	-0.633996011786207	-0.373209344086207	-0.451652557413793	-0.151234184965517	-0.297947892827586	-0.7629520942	-0.276604014653448	-0.998686648448276	-0.558744075603448	-0.593869446124138	-0.998492921724138	-0.398156918293103	-0.195352889505172	-0.85847927042931	-0.551456947724138
"10_SITTING"	-0.763951321185185	-0.397945530277778	-0.734303973333333	-0.701803998944444	-0.403472025351852	-0.639294260407407	-0.0486894701296296	-0.142936981644444	-0.767018736351852	-0.143580718590741	-0.843726066296296	-0.438989603696296	-0.305901339072222	-0.412688931796296	-0.127336288161111	-0.687450587740741	-0.614105679925926	-0.426502735981481	-0.480419488748148	-0.420482617185185	-0.697880439433333	-0.704195196611111	-0.394404089590741	-0.869040258888889	-0.173213214296296	-0.761860037962963	-0.728245738018519	-0.246527291440741	-0.775983814277778	-0.206138034772222	-0.666432084648148	-0.854095218166667	-0.0907820351851852	-0.357812029148148	-0.779285273740741	-0.344026453087037	-0.4911243705	-0.44379881312037	-0.473719617148148	-0.362343124462963	-0.961056758148148	-0.449866736701852	-0.646778201203704	-0.857084021685185	-0.123088498111111	-0.419367578937037	-0.186542169481481	-0.473054292894444	-0.427616939962963	-0.113332704611111	-0.749848192407407	-0.738511112648148	-0.217099776798148	-0.797161175	-0.284297128138889	-0.555633776111111	-0.759961460136481	-0.436174028009259	-0.733359202425926	-0.688879522088889	-0.451935629759259	-0.853258800111111	-0.517391743888889	-0.20175319552	-0.84645079762963	-0.664708804077778
"10_STANDING"	-0.918190387954545	-0.304840627590909	-0.650591288136364	-0.820627625363636	-0.280245234431818	-0.500010801522727	-0.317661354863636	-0.392666986954545	-0.762041766863636	-0.298566698975	-0.671505472045455	-0.777198266797727	-0.459179668095455	-0.179291978931818	-0.171703488931818	-0.875248997954545	-0.673346991090909	-0.373368993138636	-0.669032610227273	-0.416738447045455	-0.671752243227273	-0.908115665909091	-0.179153981695455	-0.776745822545455	-0.326125837054545	-0.671831562272727	-0.790616678181818	-0.390590246681818	-0.661357135338636	-0.350700514725	-0.65189629375	-0.735513296522727	-0.247640712929545	-0.469557549772727	-0.991460013409091	-0.602730289159091	-0.100330611952273	-0.713161101136364	-0.512095947477273	-0.391053486488636	-0.999882149545455	-0.427900209068182	-0.703109240840909	-0.743747436977273	-0.1926396365	-0.234583860722727	-0.502409713272727	-0.283011116270455	-0.785151350068182	-0.333527756863636	-0.6582244345	-0.810021813340909	0.0171719209181818	-0.606467096022727	-0.375070956318182	-0.172858469	-0.992279241818182	-0.450497130418182	-0.956010032727273	-0.654173673181818	-0.476723408695455	-0.793386695454545	-0.312415455204545	-0.113880086886364	-0.887963729454545	-0.526992879386364
"10_WALKING"	-0.582270759924528	-0.406924696749057	-0.972701908943396	-0.622816927207547	-0.519276299054717	-0.809125773396226	-0.0625308186603774	-0.481005882660377	-0.587332203907547	-0.34221715254717	-0.754292150735849	-0.682150269226415	-0.401426815377358	-0.253230421830189	-0.238115457226415	-0.763265258150943	-0.621758091018302	-0.736975882622641	-0.408242348075472	-0.4659724038	-0.909566482377358	-0.578190657169811	-0.430462037396226	-0.899131729716981	-0.256857561322642	-0.823852227018868	-0.420664969075472	-0.483031346886792	-0.619095657396226	-0.364294950018868	-0.803179660867925	-0.436567228584906	-0.145472244390943	-0.518510758056604	-0.722625540415094	-0.414291668075472	-0.181396508430189	-0.400040921528302	-0.18343737744717	-0.369142570737736	-0.771176132245283	-0.256564424013208	-0.802611214792453	-0.477030452930189	-0.299271100283019	-0.41784904090566	-0.17006948109434	-0.293249978656604	-0.416939503509434	-0.209379506283019	-0.840459402641509	-0.462196032113208	-0.348968909150943	-0.640248418358491	-0.155178961943396	-0.379698068018868	-0.750635187698113	-0.419248949966038	-0.894108620528302	-0.380809092771887	-0.696071417924528	-0.770771463603774	-0.293219565716981	-0.415800384156415	-0.994323313773585	-0.609173464830189
